Entity,Code,Year,Annual CO₂ emissions (per capita)
China,CHN,1923,0.09890104
China,CHN,1924,0.103484906
China,CHN,1925,0.09701566
China,CHN,1926,0.09184579
China,CHN,1927,0.09602494
China,CHN,1928,0.09940985
China,CHN,1929,0.10044768
China,CHN,1930,0.102641396
China,CHN,1931,0.10696789
China,CHN,1932,0.10303524
China,CHN,1933,0.110256605
China,CHN,1934,0.12636147
China,CHN,1935,0.1462837
China,CHN,1936,0.15108936
China,CHN,1937,0.141227
China,CHN,1938,0.12139731
China,CHN,1939,0.14638789
China,CHN,1940,0.17756674
China,CHN,1941,0.22169025
China,CHN,1942,0.24687532
China,CHN,1943,0.20974888
China,CHN,1944,0.19717897
China,CHN,1945,0.1064322
China,CHN,1946,0.06839545
China,CHN,1947,0.078831576
China,CHN,1948,0.07197712
China,CHN,1949,0.11541034
China,CHN,1950,0.144906
China,CHN,1951,0.18440396
China,CHN,1952,0.22649479
China,CHN,1953,0.23163575
China,CHN,1954,0.27262098
China,CHN,1955,0.31566963
China,CHN,1956,0.3500462
China,CHN,1957,0.40577844
China,CHN,1958,0.81434524
China,CHN,1959,1.1033285
China,CHN,1960,1.2199105
China,CHN,1961,0.8701636
China,CHN,1962,0.6910784
China,CHN,1963,0.6672671
China,CHN,1964,0.653573
China,CHN,1965,0.69156134
China,CHN,1966,0.74011
China,CHN,1967,0.60474396
China,CHN,1968,0.63444245
China,CHN,1969,0.7575773
China,CHN,1970,0.98134804
China,CHN,1971,1.0771736
China,CHN,1972,1.1215358
China,CHN,1973,1.1424416
China,CHN,1974,1.1419429
China,CHN,1975,1.2915547
China,CHN,1976,1.3182049
China,CHN,1977,1.4210548
China,CHN,1978,1.5612195
China,CHN,1979,1.5740018
China,CHN,1980,1.5200888
China,CHN,1981,1.4798603
China,CHN,1982,1.5850471
China,CHN,1983,1.6463653
China,CHN,1984,1.7673312
China,CHN,1985,1.8853257
China,CHN,1986,1.9533491
China,CHN,1987,2.0595717
China,CHN,1988,2.175213
China,CHN,1989,2.1725519
China,CHN,1990,2.1540327
China,CHN,1991,2.2259324
China,CHN,1992,2.3052905
China,CHN,1993,2.4401822
China,CHN,1994,2.5671885
China,CHN,1995,2.755138
China,CHN,1996,2.8505082
China,CHN,1997,2.8325534
China,CHN,1998,2.6898472
China,CHN,1999,2.822838
China,CHN,2000,2.8743546
China,CHN,2001,2.9158025
China,CHN,2002,3.1884
China,CHN,2003,3.7397096
China,CHN,2004,4.0068736
China,CHN,2005,4.4900646
China,CHN,2006,4.927211
China,CHN,2007,5.2673674
China,CHN,2008,5.624066
China,CHN,2009,5.8777986
China,CHN,2010,6.378234
China,CHN,2011,7.0077763
China,CHN,2012,7.140667
China,CHN,2013,7.219921
China,CHN,2014,7.19784
China,CHN,2015,7.0648346
China,CHN,2016,6.953239
China,CHN,2017,7.084865
China,CHN,2018,7.2818375
China,CHN,2019,7.5264
China,CHN,2020,7.6471825
China,CHN,2021,8.025529
China,CHN,2022,7.9642863
China,CHN,2023,8.366814
Panama,PAN,1923,0.0013280296
Panama,PAN,1924,0.016664064
Panama,PAN,1925,0.02376928
Panama,PAN,1926,0.035270758
Panama,PAN,1927,0.027198205
Panama,PAN,1928,0.025427198
Panama,PAN,1929,0.031236837
Panama,PAN,1930,0.02221724
Panama,PAN,1931,0.017051362
Panama,PAN,1932,0.013025392
Panama,PAN,1933,0.009898716
Panama,PAN,1934,0.0075281416
Panama,PAN,1935,0.0057243193
Panama,PAN,1936,0.004351978
Panama,PAN,1937,0.0033071337
Panama,PAN,1938,0.0025118683
Panama,PAN,1939,0.0019119843
Panama,PAN,1940,0.0014578761
Panama,PAN,1941,0.0011141939
Panama,PAN,1942,0.0010858424
Panama,PAN,1943,0.0005275908
Panama,PAN,1944,0.0005147062
Panama,PAN,1945,0.00050213607
Panama,PAN,1946,0.0004898736
Panama,PAN,1947,0.0004779104
Panama,PAN,1948,0.027080927
Panama,PAN,1949,0.030743953
Panama,PAN,1950,0.8259124
Panama,PAN,1951,0.8512597
Panama,PAN,1952,1.0042279
Panama,PAN,1953,0.8801146
Panama,PAN,1954,0.7531786
Panama,PAN,1955,0.8079471
Panama,PAN,1956,0.73550695
Panama,PAN,1957,0.8856366
Panama,PAN,1958,1.0544401
Panama,PAN,1959,1.1889386
Panama,PAN,1960,1.1222287
Panama,PAN,1961,1.1588218
Panama,PAN,1962,1.2226366
Panama,PAN,1963,1.4120456
Panama,PAN,1964,1.6007135
Panama,PAN,1965,1.6230334
Panama,PAN,1966,1.56204
Panama,PAN,1967,1.5483066
Panama,PAN,1968,1.8193713
Panama,PAN,1969,1.6210724
Panama,PAN,1970,1.769517
Panama,PAN,1971,1.979526
Panama,PAN,1972,2.1912253
Panama,PAN,1973,2.4130733
Panama,PAN,1974,2.2804587
Panama,PAN,1975,2.7551866
Panama,PAN,1976,2.6029768
Panama,PAN,1977,2.518525
Panama,PAN,1978,2.1019034
Panama,PAN,1979,2.200688
Panama,PAN,1980,1.5875065
Panama,PAN,1981,1.6576877
Panama,PAN,1982,1.5975053
Panama,PAN,1983,1.6561136
Panama,PAN,1984,1.3331667
Panama,PAN,1985,1.2389631
Panama,PAN,1986,1.2147292
Panama,PAN,1987,1.381226
Panama,PAN,1988,1.2387775
Panama,PAN,1989,1.0442849
Panama,PAN,1990,1.0718402
Panama,PAN,1991,1.237701
Panama,PAN,1992,1.6055186
Panama,PAN,1993,1.4473438
Panama,PAN,1994,1.5647815
Panama,PAN,1995,1.3407599
Panama,PAN,1996,1.5994291
Panama,PAN,1997,1.6322025
Panama,PAN,1998,2.0390067
Panama,PAN,1999,1.9046676
Panama,PAN,2000,1.9028822
Panama,PAN,2001,2.2651858
Panama,PAN,2002,1.8601658
Panama,PAN,2003,1.9092041
Panama,PAN,2004,1.7565962
Panama,PAN,2005,2.1042213
Panama,PAN,2006,2.22933
Panama,PAN,2007,2.1380777
Panama,PAN,2008,2.0952137
Panama,PAN,2009,2.3736768
Panama,PAN,2010,2.5002084
Panama,PAN,2011,2.6947093
Panama,PAN,2012,2.5984104
Panama,PAN,2013,2.7483323
Panama,PAN,2014,2.7890878
Panama,PAN,2015,2.7243288
Panama,PAN,2016,2.5908785
Panama,PAN,2017,2.3949385
Panama,PAN,2018,2.280048
Panama,PAN,2019,3.1000924
Panama,PAN,2020,1.6887522
Panama,PAN,2021,2.425743
Panama,PAN,2022,2.5803442
Panama,PAN,2023,3.1439998
South Africa,ZAF,1923,3.4767804
South Africa,ZAF,1924,3.576961
South Africa,ZAF,1925,3.6516728
South Africa,ZAF,1926,3.7589078
South Africa,ZAF,1927,3.576474
South Africa,ZAF,1928,3.5102365
South Africa,ZAF,1929,3.5715163
South Africa,ZAF,1930,3.266413
South Africa,ZAF,1931,2.8492157
South Africa,ZAF,1932,2.56178
South Africa,ZAF,1933,2.7119203
South Africa,ZAF,1934,3.029633
South Africa,ZAF,1935,3.307719
South Africa,ZAF,1936,3.554351
South Africa,ZAF,1937,3.6386213
South Africa,ZAF,1938,3.749064
South Africa,ZAF,1939,3.8141108
South Africa,ZAF,1940,3.866799
South Africa,ZAF,1941,4.0492563
South Africa,ZAF,1942,4.339325
South Africa,ZAF,1943,4.2875905
South Africa,ZAF,1944,4.7074795
South Africa,ZAF,1945,4.7289643
South Africa,ZAF,1946,4.6544867
South Africa,ZAF,1947,4.5498047
South Africa,ZAF,1948,4.5651846
South Africa,ZAF,1949,4.7465005
South Africa,ZAF,1950,4.6808386
South Africa,ZAF,1951,4.894549
South Africa,ZAF,1952,5.213686
South Africa,ZAF,1953,5.1102357
South Africa,ZAF,1954,5.202686
South Africa,ZAF,1955,5.7066035
South Africa,ZAF,1956,5.8641653
South Africa,ZAF,1957,5.880779
South Africa,ZAF,1958,6.1620164
South Africa,ZAF,1959,5.899035
South Africa,ZAF,1960,5.951489
South Africa,ZAF,1961,6.039721
South Africa,ZAF,1962,6.0665298
South Africa,ZAF,1963,6.111269
South Africa,ZAF,1964,6.4579787
South Africa,ZAF,1965,6.7126346
South Africa,ZAF,1966,6.512663
South Africa,ZAF,1967,6.5846043
South Africa,ZAF,1968,6.5826144
South Africa,ZAF,1969,6.6224833
South Africa,ZAF,1970,6.7153606
South Africa,ZAF,1971,7.3403554
South Africa,ZAF,1972,7.2663083
South Africa,ZAF,1973,7.1355205
South Africa,ZAF,1974,7.0648494
South Africa,ZAF,1975,7.201029
South Africa,ZAF,1976,7.308268
South Africa,ZAF,1977,7.36513
South Africa,ZAF,1978,7.243612
South Africa,ZAF,1979,7.636584
South Africa,ZAF,1980,7.730577
South Africa,ZAF,1981,8.417369
South Africa,ZAF,1982,8.870167
South Africa,ZAF,1983,8.915952
South Africa,ZAF,1984,9.311507
South Africa,ZAF,1985,9.242065
South Africa,ZAF,1986,9.134669
South Africa,ZAF,1987,8.8052025
South Africa,ZAF,1988,8.904598
South Africa,ZAF,1989,8.59761
South Africa,ZAF,1990,7.679972
South Africa,ZAF,1991,7.8206544
South Africa,ZAF,1992,7.099446
South Africa,ZAF,1993,7.3987613
South Africa,ZAF,1994,7.6969476
South Africa,ZAF,1995,8.120362
South Africa,ZAF,1996,8.060904
South Africa,ZAF,1997,8.435503
South Africa,ZAF,1998,8.161634
South Africa,ZAF,1999,8.022434
South Africa,ZAF,2000,8.021823
South Africa,ZAF,2001,7.8126745
South Africa,ZAF,2002,7.4245625
South Africa,ZAF,2003,8.338284
South Africa,ZAF,2004,9.171136
South Africa,ZAF,2005,8.409798
South Africa,ZAF,2006,8.935709
South Africa,ZAF,2007,9.203596
South Africa,ZAF,2008,9.678217
South Africa,ZAF,2009,9.173338
South Africa,ZAF,2010,8.845317
South Africa,ZAF,2011,8.791509
South Africa,ZAF,2012,8.533717
South Africa,ZAF,2013,8.388016
South Africa,ZAF,2014,8.489366
South Africa,ZAF,2015,7.868855
South Africa,ZAF,2016,7.982774
South Africa,ZAF,2017,7.6341534
South Africa,ZAF,2018,7.4144187
South Africa,ZAF,2019,7.7887297
South Africa,ZAF,2020,7.167264
South Africa,ZAF,2021,6.9252014
South Africa,ZAF,2022,6.4976277
South Africa,ZAF,2023,6.357822
United Kingdom,GBR,1923,10.033588
United Kingdom,GBR,1924,10.532615
United Kingdom,GBR,1925,9.965467
United Kingdom,GBR,1926,5.655135
United Kingdom,GBR,1927,10.448244
United Kingdom,GBR,1928,9.884894
United Kingdom,GBR,1929,10.408271
United Kingdom,GBR,1930,10.021771
United Kingdom,GBR,1931,9.352548
United Kingdom,GBR,1932,8.96392
United Kingdom,GBR,1933,8.869657
United Kingdom,GBR,1934,9.531863
United Kingdom,GBR,1935,9.610427
United Kingdom,GBR,1936,10.09914
United Kingdom,GBR,1937,10.368437
United Kingdom,GBR,1938,9.919003
United Kingdom,GBR,1939,9.903666
United Kingdom,GBR,1940,10.3948345
United Kingdom,GBR,1941,10.344048
United Kingdom,GBR,1942,10.161616
United Kingdom,GBR,1943,10.065381
United Kingdom,GBR,1944,10.015328
United Kingdom,GBR,1945,9.231059
United Kingdom,GBR,1946,9.4255495
United Kingdom,GBR,1947,9.810102
United Kingdom,GBR,1948,10.14036
United Kingdom,GBR,1949,10.181252
United Kingdom,GBR,1950,9.991659
United Kingdom,GBR,1951,10.829935
United Kingdom,GBR,1952,10.470209
United Kingdom,GBR,1953,10.649365
United Kingdom,GBR,1954,10.852213
United Kingdom,GBR,1955,11.273707
United Kingdom,GBR,1956,11.17351
United Kingdom,GBR,1957,11.048381
United Kingdom,GBR,1958,10.711639
United Kingdom,GBR,1959,10.466076
United Kingdom,GBR,1960,11.116029
United Kingdom,GBR,1961,11.130099
United Kingdom,GBR,1962,11.130091
United Kingdom,GBR,1963,11.246088
United Kingdom,GBR,1964,11.254874
United Kingdom,GBR,1965,11.444496
United Kingdom,GBR,1966,11.304241
United Kingdom,GBR,1967,10.769831
United Kingdom,GBR,1968,10.97902
United Kingdom,GBR,1969,11.33115
United Kingdom,GBR,1970,11.723551
United Kingdom,GBR,1971,11.815778
United Kingdom,GBR,1972,11.555548
United Kingdom,GBR,1973,11.738589
United Kingdom,GBR,1974,10.977119
United Kingdom,GBR,1975,10.730088
United Kingdom,GBR,1976,10.649713
United Kingdom,GBR,1977,10.758394
United Kingdom,GBR,1978,10.764709
United Kingdom,GBR,1979,11.464372
United Kingdom,GBR,1980,10.288091
United Kingdom,GBR,1981,9.955751
United Kingdom,GBR,1982,9.739092
United Kingdom,GBR,1983,9.683387
United Kingdom,GBR,1984,9.372823
United Kingdom,GBR,1985,9.886288
United Kingdom,GBR,1986,10.018232
United Kingdom,GBR,1987,10.049351
United Kingdom,GBR,1988,10.000497
United Kingdom,GBR,1989,10.170591
United Kingdom,GBR,1990,10.4927225
United Kingdom,GBR,1991,10.588317
United Kingdom,GBR,1992,10.288521
United Kingdom,GBR,1993,10.017321
United Kingdom,GBR,1994,9.896297
United Kingdom,GBR,1995,9.735405
United Kingdom,GBR,1996,10.0647545
United Kingdom,GBR,1997,9.62765
United Kingdom,GBR,1998,9.697672
United Kingdom,GBR,1999,9.545588
United Kingdom,GBR,2000,9.635275
United Kingdom,GBR,2001,9.748509
United Kingdom,GBR,2002,9.40991
United Kingdom,GBR,2003,9.555585
United Kingdom,GBR,2004,9.530167
United Kingdom,GBR,2005,9.412128
United Kingdom,GBR,2006,9.301154
United Kingdom,GBR,2007,9.09334
United Kingdom,GBR,2008,8.785364
United Kingdom,GBR,2009,7.904937
United Kingdom,GBR,2010,8.124633
United Kingdom,GBR,2011,7.3959785
United Kingdom,GBR,2012,7.62153
United Kingdom,GBR,2013,7.4175463
United Kingdom,GBR,2014,6.764833
United Kingdom,GBR,2015,6.461413
United Kingdom,GBR,2016,6.061766
United Kingdom,GBR,2017,5.837845
United Kingdom,GBR,2018,5.6886244
United Kingdom,GBR,2019,5.4350777
United Kingdom,GBR,2020,4.84416
United Kingdom,GBR,2021,5.091122
United Kingdom,GBR,2022,4.6030793
United Kingdom,GBR,2023,4.4428244
United States,USA,1923,17.478342
United States,USA,1924,15.423299
United States,USA,1925,15.735723
United States,USA,1926,16.812035
United States,USA,1927,16.192951
United States,USA,1928,15.685378
United States,USA,1929,16.603048
United States,USA,1930,14.58597
United States,USA,1931,12.289558
United States,USA,1932,10.321664
United States,USA,1933,10.991698
United States,USA,1934,11.621933
United States,USA,1935,11.991493
United States,USA,1936,13.672
United States,USA,1937,14.204154
United States,USA,1938,11.926593
United States,USA,1939,13.037762
United States,USA,1940,14.487894
United States,USA,1941,15.615902
United States,USA,1942,16.58958
United States,USA,1943,16.911407
United States,USA,1944,17.948437
United States,USA,1945,17.084375
United States,USA,1946,16.121332
United States,USA,1947,17.508738
United States,USA,1948,17.940481
United States,USA,1949,14.822593
United States,USA,1950,16.48146
United States,USA,1951,16.734978
United States,USA,1952,16.066198
